_id,titleID,title,releaseYear,director,cast[0],cast[1],cast[2],cast[3],cast[4],cast[5],cast[6],cast[7],cast[8],cast[9],cast[10],cast[11],cast[12],cast[13],cast[14],cast[15],cast[16],cast[17],ratings,totalRatings,runtime,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5]
6595b2dea783f0cdafc98b54,tt14998742,Rebel Moon: Part One - A Child of Fire,2023,Zack Snyder,Sofia Boutella,Djimon Hounsou,Ed Skrein,Michiel Huisman,Bae Doona,Ray Fisher,Charlie Hunnam,Anthony Hopkins,Staz Nair,Fra Fee,Cleopatra Coleman,Stuart Martin,Ingvar Sigurdsson,Alfonso Herrera,Cary Elwes,Rhian Rees,E. Duffy,Jena Malone,5.7,70944,2h 13m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,
6595b2dea783f0cdafc98b55,tt9663764,Aquaman and the Lost Kingdom,2023,James Wan,Jason Momoa,Patrick Wilson,Yahya Abdul-Mateen II,Amber Heard,Nicole Kidman,Randall Park,Temuera Morrison,Dolph Lundgren,Martin Short,Jani Zhao,Pilou Asbæk,Indya Moore,John Rhys-Davies,Vincent Regan,Jay McDonald,Tyler Burger,Maddox Cruz-Porter,River Ao Moemoea Green,6,22516,2h 4m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b46,6595b2dda783f0cdafc98b4e,,
6595b2dea783f0cdafc98b56,tt13751694,Animal,2023,Sandeep Reddy Vanga,Ranbir Kapoor,Anil Kapoor,Bobby Deol,Rashmika Mandanna,Triptii Dimri,Charu Shankar,Prithviraj,Shakti Kapoor,Prem Chopra,Suresh Oberoi,Siddhant Karnick,Saloni Batra,Anshul Chauhan,Saurabh Sachdeva,Upendra Limaye,Vivek Sharma,Mathew Varghese,Indira Krishnan,6.8,58270,3h 24m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b42,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b51,,
6595b2dea783f0cdafc98b57,tt10545296,The Hunger Games: The Ballad of Songbirds and Snakes,2023,Francis Lawrence,Rachel Zegler,Tom Blyth,Viola Davis,Dexter Sol Ansell,Rosa Gotzler,Clemens Schick,Fionnula Flanagan,Hunter Schafer,Ashley Liao,Athena Strates,Joshua Kantara,Amélie Hoeferle,Kaitlyn Akinpelumi,Florian Burgkart,Ayomide Adegun,Aaron Finn Schultz,Max Raphael,Mekyas Mulugeta,6.9,75449,2h 37m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b4e,6595b2dda783f0cdafc98b51,6595b2dda783f0cdafc98b52
6595b2dea783f0cdafc98b58,tt0095016,Die Hard,1988,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,Paul Gleason,De'voreaux White,William Atherton,Hart Bochner,James Shigeta,Alexander Godunov,Bruno Doyon,Andreas Wisniewski,Clarence Gilyard Jr.,Joseph Plewa,Lorenzo Caccialanza,Gérard Bonn,Dennis Hayden,Al Leong,8.2,931602,2h 12m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b51,,,,
6595b2dea783f0cdafc98b59,tt13927994,Salaar,2023,Prashanth Neel,Prabhas,Prithviraj Sukumaran,Shruti Haasan,Jagapathi Babu,Tinnu Anand,Shrey Bhargava,Madhu Guruswamy,Jhansi,Bhajarangi Loki,Jackey Mishra,Pramod Panju,Sriram Reddy Polasane,Ramachandra Raju,Garuda Ram,Easwari Rao,Dayanand Reddy,Shreya Reddy,Sapthagiri,6.7,47864,2h 55m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b51,,,
6595b2dea783f0cdafc98b5a,tt16431870,The Family Plan,2023,Simon Cellan Jones,Mark Wahlberg,Michelle Monaghan,Ciarán Hinds,Zoe Colletti,Van Crosby,Iliana Norris,Vienna Norris,Maggie Q,Joyner Lucas,Kellen Boyle,Felicia Pearson,Lateef Crowder,Miles Doleac,Jonny Coyne,Saïd Taghmaoui,Kash Abdulmalik,Colby Burton,Al Vicente,6.3,22811,1h 58m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b41,,,,
6595b2dea783f0cdafc98b5b,tt23289160,Godzilla Minus One,2023,Takashi Yamazaki,Minami Hamabe,Ryunosuke Kamiki,Sakura Ando,Kuranosuke Sasaki,Hidetaka Yoshioka,Munetaka Aoki,Rikako Miura,Yuki Yamada,Michael Arias,Sae Nagatani,Ozuno Nakamura,Yûya Endô,Kisuke Iida,Miou Tanaka,Shôhei Abe,Ryô Ônishi,Sentarô Kusakabe,Senji Nakagi,8.4,31885,2h 4m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b44,6595b2dda783f0cdafc98b49,6595b2dda783f0cdafc98b4e,
6595b2dea783f0cdafc98b5c,tt1462764,Indiana Jones and the Dial of Destiny,2023,James Mangold,Harrison Ford,Phoebe Waller-Bridge,Antonio Banderas,Karen Allen,John Rhys-Davies,Shaunette Renée Wilson,Thomas Kretschmann,Toby Jones,Boyd Holbrook,Olivier Richters,Ethann Isidore,Mads Mikkelsen,Martin McDougall,Alaa Safi,Francis Chapman,Alfonso Mandia,Chase Brown,Nasser Memarzia,6.6,173586,2h 34m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b4e,,,
6595b2dea783f0cdafc98b5d,tt11858890,The Creator,2023,Gareth Edwards,John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann,Ralph Ineson,Michael Esper,Veronica Ngo,Ian Verdun,Daniel Ray Rodriguez,Rad Pereira,Syd Skidmore,Karen Aldridge,Teerawat Mulvilai,6.8,106208,2h 13m,6595b2dda783f0cdafc98b3d,6595b2dda783f0cdafc98b3e,6595b2dda783f0cdafc98b4e,6595b2dda783f0cdafc98b51,,
